Starting Queue Size: 1000, Ending Queue Size: 741
Task Time Range: 1-10
Request IP In: 169.16.231.96, Request IP Out: 144.82.55.231, Server Number: 8, Time received: 1
Request IP In: 143.140.91.78, Request IP Out: 107.80.99.17, Server Number: 6, Time received: 1
Request IP In: 148.142.65.41, Request IP Out: 62.221.24.151, Server Number: 9, Time received: 1
Request IP In: 168.196.162.32, Request IP Out: 72.37.7.194, Server Number: 2, Time received: 1
Request IP In: 207.34.58.251, Request IP Out: 141.31.32.233, Server Number: 10, Time received: 1
Request IP In: 248.60.34.148, Request IP Out: 19.241.48.205, Server Number: 4, Time received: 1
Request IP In: 159.110.135.87, Request IP Out: 73.128.149.41, Server Number: 5, Time received: 1
Request IP In: 251.197.197.232, Request IP Out: 211.149.27.219, Server Number: 7, Time received: 1
Request IP In: 11.148.84.123, Request IP Out: 66.29.148.232, Server Number: 8, Time received: 3
Request IP In: 215.156.237.134, Request IP Out: 100.41.49.100, Server Number: 1, Time received: 1
Request IP In: 67.0.178.1, Request IP Out: 227.30.25.193, Server Number: 2, Time received: 6
Request IP In: 114.139.12.105, Request IP Out: 82.52.20.36, Server Number: 7, Time received: 7
Request IP In: 50.224.19.182, Request IP Out: 232.109.217.224, Server Number: 8, Time received: 7
Request IP In: 241.139.79.73, Request IP Out: 65.32.11.235, Server Number: 3, Time received: 1
Request IP In: 241.152.118.178, Request IP Out: 186.94.27.124, Server Number: 6, Time received: 4
Request IP In: 230.32.191.172, Request IP Out: 166.222.84.20, Server Number: 8, Time received: 10
Request IP In: 56.17.233.229, Request IP Out: 57.122.225.88, Server Number: 1, Time received: 9
Request IP In: 31.39.66.205, Request IP Out: 243.45.169.1, Server Number: 2, Time received: 9
Request IP In: 14.103.85.83, Request IP Out: 9.57.215.84, Server Number: 10, Time received: 6
Request IP In: 217.90.30.70, Request IP Out: 61.115.19.146, Server Number: 6, Time received: 12
Request IP In: 231.175.120.127, Request IP Out: 124.248.166.221, Server Number: 4, Time received: 7
